model_id,display_name,status,test_auc,test_pr_auc,lodo_iscx_auc,lodo_usbvpn_auc,lodo_vnat_auc,lodo_mean_auc,lodo_min_auc,domain_auc,domain_auc_delta_vs_legacy,test_recall,test_precision,test_fpr,test_ece,review_threshold,block_threshold,threshold_stability,deployment_score,test_tp,test_fp,test_tn,test_fn,calibration_method,selection_split,evaluation_split,metric_warning
unified_relative_shape_v2__lgbm,Unified Relative Shape v2 — LGBM,active_candidate,0.9826,0.8529,0.6366,,0.956,0.7963,0.6366,0.9591,-0.0409,0.893,0.3737,0.0759,0.2988,0.0367,0.425,stable,0.4691,626,1049,12780,75,isotonic_regression,val,test,High ECE (~0.30) — probability values should be interpreted cautiously. LODO-USBVPN not available. Domain fingerprinting persists (domain AUC 0.9591).
unified_full__lgbm,Unified Full — LGBM,comparison_unified,0.9947,0.9482,0.346,,0.9613,0.6537,0.346,0.9828,-0.0172,0.9487,0.4515,0.0584,0.2877,0.0556,0.2174,stable,0.1024,665,808,13021,36,isotonic_regression,val,test,Best pooled AUC but lowest LODO-min (0.346). Comparison-only benchmark.
unified_size_shape__lgbm,Unified Size-Shape — LGBM,comparison_unified,0.9926,0.9344,0.5623,,0.9443,0.7533,0.5623,0.9479,-0.0521,0.9643,0.3592,0.0872,0.2013,0.0714,0.3405,stable,0.4004,676,1206,12623,25,isotonic_regression,val,test,Lowest domain AUC (0.9479) — best fingerprinting reduction among all 6 lgbm families. Moderate ECE.
unified_directionless__lgbm,Unified Directionless — LGBM,comparison_unified,0.9955,0.9556,0.3888,,0.9626,0.6757,0.3888,0.9802,-0.0198,0.9943,0.4176,0.0703,0.3256,0.0265,0.1875,stable,0.1451,697,972,12857,4,isotonic_regression,val,test,Best pooled AUC for directionless features but very low LODO-min (0.389). High ECE (0.326).
unified_timing_shape__lgbm,Unified Timing-Shape — LGBM,comparison_unified,0.9289,0.5425,0.3707,,0.9871,0.6789,0.3707,0.9806,-0.0194,0.7004,0.3475,0.0667,0.3013,0.1579,0.6234,unstable,0.1354,491,922,12907,210,isotonic_regression,val,test,Timing features only. Lower AUC (0.929). Not recommended as standalone model.
unified_safe_hybrid__lgbm,Unified Safe Hybrid — LGBM,comparison_unified,0.9827,0.9039,0.293,,0.9484,0.6207,0.293,0.9701,-0.0299,0.9401,0.3631,0.0836,0.3769,0.0158,0.3158,stable,0.0106,659,1156,12673,42,isotonic_regression,val,test,Very low LODO-min (0.293) despite good pooled AUC. Worst LODO-ISCX among unified models. Not recommended.
full_canonical__lgbm,Full Canonical — LGBM (Legacy),legacy_comparison,0.9994,0.984,0.6164,,0.6898,0.6531,0.6164,1.0,0.0,0.9444,,0.0025,0.0026,,0.5,stable,0.684,221,19,7699,13,isotonic_regression,val,test,domain_auc = 1.0000 — complete dataset fingerprinting. Legacy comparison only. Not the recommended thesis model.
robust9_clean__lgbm,Robust9 Clean — LGBM (Legacy),legacy_comparison,,,,,,,,,,,,,,,0.5,,,,,,,,,test,Metrics not re-evaluated under unified feature contract. Legacy comparison baseline only.
diverse_bagging_robust9,Diverse Bagging Robust9 (Ensemble),legacy_report_only,0.9903,0.9702,,,,,,,,0.903,0.9387,0.0094,,,0.5,,,1164,76,8019,125,isotonic_regression,,test_overall,Comparison-only benchmark. LODO not available. Non-standard artifact format.
