prob_col,aggregation,n_val_sessions,n_test_sessions,strict_threshold,strict_recall,strict_fpr,strict_TP,strict_FP,strict_TN,strict_FN,balanced_threshold,balanced_recall,balanced_fpr,balanced_TP,balanced_FP,balanced_TN,balanced_FN,session_auc_test,per_dataset_auc_test,error
prob_raw,p80,85,140,0.8397064911757495,0.0,0.0,0,0,109,31,0.9986180320134301,0.0,0.0,0,0,109,31,0.4859425865640722,"{""iscx"": 0.4859425865640722}",
prob_raw,wt5,85,140,0.8397064911757495,0.0,0.0,0,0,109,31,0.9997697099063458,0.0,0.0,0,0,109,31,0.5134655223438886,"{""iscx"": 0.5134655223438886}",
prob_iso,p80,85,140,0.6666666666666667,0.0,0.0,0,0,109,31,1.0,0.0,0.0,0,0,109,31,0.5622965374371116,"{""iscx"": 0.5622965374371116}",
prob_iso,wt5,85,140,0.6666666666666667,0.0,0.0,0,0,109,31,1.0,0.0,0.0,0,0,109,31,0.528410772417875,"{""iscx"": 0.528410772417875}",
prob_platt,p80,85,140,0.7942895739336469,0.0,0.0,0,0,109,31,0.9447858614948266,0.0,0.0,0,0,109,31,0.49186149748446284,"{""iscx"": 0.49186149748446284}",
prob_platt,wt5,85,140,0.7942895739336469,0.0,0.0,0,0,109,31,0.9453460024885376,0.0,0.0,0,0,109,31,0.49778040840485355,"{""iscx"": 0.49778040840485355}",
