prob_col,aggregation,n_val_sessions,n_test_sessions,strict_threshold,strict_recall,strict_fpr,strict_TP,strict_FP,strict_TN,strict_FN,balanced_threshold,balanced_recall,balanced_fpr,balanced_TP,balanced_FP,balanced_TN,balanced_FN,session_auc_test,per_dataset_auc_test,n_block,n_flag_review,review_load,error
prob_raw,p80,120,124,0.7533487388124668,0.9090909090909091,0.0,20,0,102,2,0.7533487388124667,0.9090909090909091,0.0,20,0,102,2,0.999108734402852,"{""iscx"": 1.0, ""usbvpn"": 1.0, ""vnat"": 1.0}",20,0,0.0,
prob_raw,wt5,120,124,0.7062842512353551,0.9090909090909091,0.0196078431372549,20,2,100,2,0.6642139252378804,0.9090909090909091,0.0196078431372549,20,2,100,2,0.9906417112299466,"{""iscx"": 0.9852941176470588, ""usbvpn"": 1.0, ""vnat"": 1.0}",22,0,0.0,
prob_iso,p80,120,124,0.8717948717948719,0.9090909090909091,0.0,20,0,102,2,0.8717948717948718,0.9090909090909091,0.0,20,0,102,2,0.9991087344028521,"{""iscx"": 1.0, ""usbvpn"": 1.0, ""vnat"": 1.0}",20,0,0.0,
prob_iso,wt5,120,124,0.7352709790209792,0.9090909090909091,0.0196078431372549,20,2,100,2,0.735270979020979,0.9090909090909091,0.0196078431372549,20,2,100,2,0.9899732620320855,"{""iscx"": 0.9485294117647058, ""usbvpn"": 1.0, ""vnat"": 1.0}",22,0,0.0,
prob_platt,p80,120,124,0.8928128936277973,0.9090909090909091,0.0,20,0,102,2,0.799037568210927,0.9090909090909091,0.0,20,0,102,2,0.9982174688057042,"{""iscx"": 0.9852941176470588, ""usbvpn"": 1.0, ""vnat"": 1.0}",20,0,0.0,
prob_platt,wt5,120,124,0.8504148934091394,0.9090909090909091,0.00980392156862745,20,1,101,2,0.799037568210927,0.9090909090909091,0.00980392156862745,20,1,101,2,0.9848484848484849,"{""iscx"": 0.9411764705882353, ""usbvpn"": 1.0, ""vnat"": 1.0}",21,0,0.0,
