model_id,split,dataset,label,n,min,p25,median,p75,max,mean
robust9_firewall,val,_all_,_all_,120,0.0028248587570621,0.0112589559877175,0.017975157006204497,0.06884199134199143,1.0,0.18293150061580973
robust9_firewall,val,iscx,_all_,21,0.0028248587570621,0.0380952380952381,0.0434782608695652,0.2176870748299319,1.0,0.24973469311976185
robust9_firewall,val,iscx,0,16,0.0028248587570621,0.0380952380952381,0.04006211180124222,0.07354978354978366,0.2176870748299319,0.07218739802982224
robust9_firewall,val,iscx,1,5,0.1393939393939394,0.9649122807017544,0.9917355371900828,0.9933884297520662,1.0,0.8178860374075686
robust9_firewall,val,usbvpn,_all_,75,0.0028248587570621,0.0028248587570621,0.0112589559877175,0.0112589559877175,1.0,0.0474507786678744
robust9_firewall,val,usbvpn,0,72,0.0028248587570621,0.0028248587570621,0.0112589559877175,0.0112589559877175,0.1393939393939394,0.013403588890146943
robust9_firewall,val,usbvpn,1,3,0.59375,0.796875,1.0,1.0,1.0,0.8645833333333334
robust9_firewall,val,vnat,_all_,24,0.0380952380952381,0.0380952380952381,0.683122398156408,0.9649122807017544,0.9649122807017544,0.5478559632621495
robust9_firewall,val,vnat,0,12,0.0380952380952381,0.0380952380952381,0.0380952380952381,0.1943413729128015,0.8717948717948718,0.20915308149505937
robust9_firewall,val,vnat,1,12,0.3958333333333333,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.8865588450292399
robust9_firewall,test,_all_,_all_,124,0.0,0.005776792787791533,0.0112589559877175,0.1393939393939394,1.0,0.19153873773320992
robust9_firewall,test,iscx,_all_,21,0.0,0.0380952380952381,0.07023411371237459,0.1393939393939394,1.0,0.20569296695487502
robust9_firewall,test,iscx,0,17,0.0,0.0380952380952381,0.0380952380952381,0.1194398074136688,0.17071119356833658,0.06736573019591799
robust9_firewall,test,iscx,1,4,0.2176870748299319,0.7781059792337988,0.9783239089459186,0.9938016528925621,1.0,0.7935837231804422
robust9_firewall,test,usbvpn,_all_,77,0.0028248587570621,0.0028248587570621,0.0112589559877175,0.0112589559877175,1.0,0.07700381965666232
robust9_firewall,test,usbvpn,0,72,0.0028248587570621,0.0028248587570621,0.0112589559877175,0.0112589559877175,0.1393939393939394,0.01339419212307285
robust9_firewall,test,usbvpn,1,5,0.9649122807017544,1.0,1.0,1.0,1.0,0.9929824561403509
robust9_firewall,test,vnat,_all_,26,0.0380952380952381,0.06341991341991356,0.4653061224489796,0.9649122807017544,0.9917355371900828,0.5193060407424099
robust9_firewall,test,vnat,0,13,0.0380952380952381,0.0380952380952381,0.058354978354978465,0.1472789115646258,0.35918367346938784,0.10908572994575476
robust9_firewall,test,vnat,1,13,0.5714285714285714,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9917355371900828,0.9295263515390654
balanced_bagging_3ds_reference,val,_all_,_all_,102,0.1335120541153864,0.24061439172875632,0.308321592008411,0.5672008904541761,0.9632474633748513,0.4197256098928882
balanced_bagging_3ds_reference,val,iscx,_all_,17,0.568688652634449,0.8070741846381568,0.83283177029325,0.8498139373774891,0.8776583661351074,0.8020834631584122
balanced_bagging_3ds_reference,val,iscx,0,16,0.568688652634449,0.805111253403826,0.8281303724642468,0.8504722498912681,0.8776583661351074,0.7996945893428167
balanced_bagging_3ds_reference,val,iscx,1,1,0.8403054442079405,0.8403054442079405,0.8403054442079405,0.8403054442079405,0.8403054442079405,0.8403054442079405
balanced_bagging_3ds_reference,val,usbvpn,_all_,73,0.1335120541153864,0.21684122185357196,0.2718229077552108,0.3196742391174983,0.9632474633748513,0.3007201203473081
balanced_bagging_3ds_reference,val,usbvpn,0,72,0.1335120541153864,0.2161646306525038,0.2702002549317296,0.31399814289365363,0.9017438818195915,0.29151835169414775
balanced_bagging_3ds_reference,val,usbvpn,1,1,0.9632474633748513,0.9632474633748513,0.9632474633748513,0.9632474633748513,0.9632474633748513,0.9632474633748513
balanced_bagging_3ds_reference,val,vnat,_all_,12,0.4047522466882681,0.5311164416442316,0.5766423414990174,0.7080135439640829,0.7766198261236715,0.6020020458356748
balanced_bagging_3ds_reference,val,vnat,0,12,0.4047522466882681,0.5311164416442316,0.5766423414990174,0.7080135439640829,0.7766198261236715,0.6020020458356748
balanced_bagging_3ds_reference,test,_all_,_all_,106,0.16102038242120092,0.26488752709664687,0.41521908994999557,0.7105401487066735,0.9651617140063053,0.4763616578183204
balanced_bagging_3ds_reference,test,iscx,_all_,19,0.7797273866834213,0.830359418933694,0.8521233571112197,0.8618253568978822,0.8781676040545535,0.8425059936770627
balanced_bagging_3ds_reference,test,iscx,0,17,0.7797273866834213,0.827814551032627,0.8450121049098137,0.8609069158520148,0.8781676040545535,0.8397506379476221
balanced_bagging_3ds_reference,test,iscx,1,2,0.8622196411776808,0.8640730792774944,0.8659265173773082,0.867779955477122,0.8696333935769356,0.8659265173773082
balanced_bagging_3ds_reference,test,usbvpn,_all_,74,0.16102038242120092,0.23695779970919087,0.2994252233313166,0.43201802868155414,0.9651617140063053,0.3587657771763833
balanced_bagging_3ds_reference,test,usbvpn,0,72,0.16102038242120092,0.2367183279509692,0.2940897068740259,0.42505459528114986,0.8407482680795074,0.3423869398825852
balanced_bagging_3ds_reference,test,usbvpn,1,2,0.9316461254999244,0.9400250226265197,0.9484039197531149,0.9567828168797101,0.9651617140063053,0.9484039197531149
balanced_bagging_3ds_reference,test,vnat,_all_,13,0.3632128047469801,0.4995891561420468,0.6893893548879619,0.7123051867775458,0.8105060879859127,0.6106195644481086
balanced_bagging_3ds_reference,test,vnat,0,12,0.3632128047469801,0.4789812442906448,0.6648336251082504,0.7070100725649289,0.8105060879859127,0.6014752344760296
balanced_bagging_3ds_reference,test,vnat,1,1,0.720351524113056,0.720351524113056,0.720351524113056,0.720351524113056,0.720351524113056,0.720351524113056
clean_pooled_benchmark,val,_all_,_all_,16,0.0012222860860241712,0.011352760242327571,0.09296727828393118,0.9889904178588724,0.9997314113801705,0.4467153912929891
clean_pooled_benchmark,val,iscx,_all_,7,0.004972621685822395,0.04807619054153024,0.1027849027653227,0.961698136504967,0.9879124851552895,0.44503123767134706
clean_pooled_benchmark,val,iscx,0,4,0.004972621685822395,0.010995200881846218,0.04807619054153024,0.08805846604323542,0.1027849027653227,0.05097747638355139
clean_pooled_benchmark,val,iscx,1,3,0.9508673713594167,0.961698136504967,0.9725289016505174,0.9802206934029034,0.9879124851552895,0.9704362527217412
clean_pooled_benchmark,val,usbvpn,_all_,3,0.9922242159696214,0.9955611620527994,0.9988981081359775,0.999314759758074,0.9997314113801705,0.9969512451619232
clean_pooled_benchmark,val,usbvpn,1,3,0.9922242159696214,0.9955611620527994,0.9988981081359775,0.999314759758074,0.9997314113801705,0.9969512451619232
clean_pooled_benchmark,val,vnat,_all_,6,0.0012222860860241712,0.00431877364213853,0.010718423747966757,0.016111860635359885,0.9986194980493167,0.17356231025043797
clean_pooled_benchmark,val,vnat,0,5,0.0012222860860241712,0.0026084479364363307,0.00944975075924513,0.011987096736688385,0.017486781934917053,0.008550872690662214
clean_pooled_benchmark,val,vnat,1,1,0.9986194980493167,0.9986194980493167,0.9986194980493167,0.9986194980493167,0.9986194980493167,0.9986194980493167
clean_pooled_benchmark,test,_all_,_all_,91,0.001167194156480296,0.16948264447769323,0.9691152454451615,0.9795784630044643,0.9996485734339765,0.6998455366528032
clean_pooled_benchmark,test,iscx,_all_,10,0.035348370395644424,0.0665829854199878,0.10118353070360539,0.9892886197817086,0.993360662208887,0.438954918598102
clean_pooled_benchmark,test,iscx,0,6,0.035348370395644424,0.05123128962749857,0.07096570068522745,0.0930881816757147,0.10482652957816009,0.07120363265973202
clean_pooled_benchmark,test,iscx,1,4,0.9891229658212498,0.9892886197817086,0.9899218809962455,0.9912151087201939,0.993360662208887,0.9905818475056569
