artifact,aggregation,chosen_probability_column,session_group_column,wt5_verified,strict_threshold,strict_test_recall,strict_test_fpr,strict_TP,strict_FP,strict_TN,strict_FN,balanced_threshold,balanced_test_recall,balanced_test_fpr,balanced_TP,balanced_FP,balanced_TN,balanced_FN,session_auc_test,n_sessions_val,n_sessions_test,flow_overlap_train_val,flow_overlap_train_test,flow_overlap_val_test,capture_overlap_train_val,capture_overlap_train_test,capture_overlap_val_test
artifacts/ensemble/diverse_bagging_robust9,p80,prob_raw,capture_id,True,0.7533487388124668,0.9090909090909091,0.0,20,0,102,2,0.7533487388124667,0.9090909090909091,0.0,20,0,102,2,0.999108734402852,120,124,0,0,0,0,0,0
artifacts/ensemble/diverse_bagging_robust9,wt5,prob_raw,capture_id,True,0.7062842512353551,0.9090909090909091,0.0196078431372549,20,2,100,2,0.6642139252378804,0.9090909090909091,0.0196078431372549,20,2,100,2,0.9906417112299466,120,124,0,0,0,0,0,0
