Rank,Configuration,Tier,Calibration,Aggregation,Session AUC,Session PR-AUC,Block Recall,Block FPR,Block Precision,Flagged Recall,Block Threshold
1,ensemble_9 (STRICT),API-Validated,isotonic,p90,0.9902,0.9775,0.7059,0.0,1.0,1.0,0.9588
2,ensemble_9 (BALANCED),API-Validated,isotonic,p90,0.9686,0.9518,0.7059,0.0333,0.9231,1.0,0.8755
