model_id,status,selected_probability_column,selected_aggregation,strict_threshold,strict_test_recall,strict_test_fpr,balanced_threshold,balanced_test_recall,balanced_test_fpr,session_auc_test,per_dataset_auc_test,n_val_sessions,n_test_sessions,review_load,n_block,n_flag_review,any_overlap_detected,threshold_source,recommended_action_mode
robust9_firewall,default_firewall,prob_iso,p80,0.8717948717948719,0.9090909090909091,0.0,0.8717948717948718,0.9090909090909091,0.0,0.9991087344028521,"{""iscx"": 1.0, ""usbvpn"": 1.0, ""vnat"": 1.0}",120,124,0.0,20,0,,,simulation
balanced_bagging_3ds_reference,policy_computed,prob_raw,wt5,0.9017438818195916,0.4,0.0,0.9017438818195915,0.4,0.0,0.9504950495049506,"{""iscx"": 0.8823529411764706, ""usbvpn"": 1.0, ""vnat"": 0.8333333333333334}",102,106,0.0,2,0,False,recomputed_from_validation,simulation
clean_pooled_benchmark,policy_computed,ensemble_score,p80,0.10278490276532272,1.0,0.125,0.9508673713594167,0.7313432835820896,0.0,0.9987562189054726,"{""iscx"": 1.0, ""usbvpn"": null, ""vnat"": 1.0}",16,91,0.0,70,0,False,recomputed_from_validation,simulation
single_model_fallback,policy_computed,xgb_score,p80,0.0764412033633562,1.0,0.041666666666666664,0.9681926846504212,0.7761194029850746,0.0,1.0,"{""iscx"": 1.0, ""usbvpn"": null, ""vnat"": 1.0}",16,91,0.0,68,0,False,recomputed_from_validation,simulation
balanced_bagging_xgb_baseline,policy_computed,prob_raw,wt5,0.9443579000000001,0.09090909090909091,0.0,0.9237207850000001,0.6818181818181818,0.0,0.9710338680926917,"{""iscx"": 0.8088235294117646, ""usbvpn"": 0.9944444444444445, ""vnat"": 1.0}",120,124,0.0,2,0,True,recomputed_from_validation,simulation
balanced_bagging_baseline,policy_computed,prob_raw,p80,0.9233466439946243,0.2,0.0,0.9233466439946242,0.2,0.0,0.9306930693069306,"{""iscx"": 0.8529411764705882, ""usbvpn"": 1.0, ""vnat"": 1.0}",102,106,0.0,1,0,True,recomputed_from_validation,simulation
balanced_bagging_tuned_baseline,policy_computed,prob_iso,wt5,0.8931101750021205,0.18181818181818182,0.00980392156862745,0.8931101750021204,0.18181818181818182,0.00980392156862745,0.9679144385026739,"{""iscx"": 0.8088235294117647, ""usbvpn"": 0.9333333333333333, ""vnat"": 1.0}",120,124,0.00980392156862745,0,1,True,recomputed_from_validation,simulation
robust13_comparison,policy_computed,prob_platt,wt5,0.8532016053215683,0.09090909090909091,0.0,0.8431458233721466,0.7272727272727273,0.0,0.9389483065953654,"{""iscx"": 0.7499999999999999, ""usbvpn"": 0.9472222222222222, ""vnat"": 1.0}",120,124,0.0,2,0,True,recomputed_from_validation,simulation
