prob_col,aggregation,n_val_sessions,n_test_sessions,strict_threshold,strict_recall,strict_fpr,strict_TP,strict_FP,strict_TN,strict_FN,balanced_threshold,balanced_recall,balanced_fpr,balanced_TP,balanced_FP,balanced_TN,balanced_FN,session_auc_test,per_dataset_auc_test,error
prob_raw,p80,90,88,0.9458985539867449,0.0,0.0,0,0,83,5,0.9725922638276336,0.0,0.0,0,0,83,5,0.17349397590361446,"{""vnat"": 0.17349397590361446}",
prob_raw,wt5,90,88,0.9458985539867449,0.0,0.024096385542168676,0,2,81,5,0.9795908011047626,0.0,0.0,0,0,83,5,0.12289156626506022,"{""vnat"": 0.12289156626506022}",
prob_iso,p80,90,88,0.5000000000000001,0.0,0.0,0,0,83,5,1.0,0.0,0.0,0,0,83,5,0.16867469879518077,"{""vnat"": 0.16867469879518077}",
prob_iso,wt5,90,88,0.580714285714286,0.0,0.024096385542168676,0,2,81,5,1.0,0.0,0.0,0,0,83,5,0.0927710843373494,"{""vnat"": 0.0927710843373494}",
prob_platt,p80,90,88,0.45037414864715336,0.0,0.0,0,0,83,5,0.5257381700787314,0.0,0.0,0,0,83,5,0.17590361445783131,"{""vnat"": 0.17590361445783131}",
prob_platt,wt5,90,88,0.45037414864715336,0.0,0.024096385542168676,0,2,81,5,0.5454429960687482,0.0,0.0,0,0,83,5,0.10120481927710842,"{""vnat"": 0.10120481927710842}",
