candidate,path,overall_flow_auc_iso,overall_pr_auc_iso,per_dataset_auc_iso,session_auc_wt5_iso,block_recall_at_fpr0_wt5_iso,balanced_recall,balanced_test_fpr,balanced_val_fpr,balanced_block_thr,strict_recall,strict_test_fpr,strict_val_fpr,strict_block_thr,balanced_BLOCK/FLAG/PASS_test,strict_BLOCK/FLAG/PASS_test,calibration_best,calibration_best_ece,calibration_best_brier,thr_stability_bal_cv,thr_stability_strict_cv,thr_stability_bal_p05_p95,thr_stability_strict_p05_p95,has_calibration_artifacts,has_session_metrics_in_metrics_json,has_threshold_policy_metrics_json,has_block_flag_pass_metrics_json,lodo_result
diverse_bagging_robust9,artifacts/ensemble/diverse_bagging_robust9,0.9912306871801164,0.9645511984958675,"{""iscx"": 0.9174622571091474, ""usbvpn"": 0.9990988396041176, ""vnat"": 0.9990238188207732}",0.9899732620320855,0.45454545454545453,0.9090909090909091,0.0196078431372549,0.01,0.735270979020979,0.7727272727272727,0.0,0.0,0.8388617824562986,22/30/72,17/2/105,raw,0.007139814300960848,0.015992213051454762,0.06942364944135082,0.1804109693391713,0.6121..0.7353,0.4879..0.8389,True,False,True,False,n/a
3dataset_REFRESH,artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,0.9825010496030151,0.8513035021525709,"{""iscx"": 0.8489768747648403, ""usbvpn"": 0.9916589585598111, ""vnat"": 0.9504950495049505}",0.9217821782178217,0.4,0.4,0.0,0.01,0.6268459915611815,0.2,0.0,0.0,0.8776583661351073,2/2/102,1/11/94,isotonic,0.02731374926105375,0.029395827023892207,0.6333766280078311,0.015279363956785046,0.0886..0.6268,0.8554..0.8777,True,True,True,True,isotonic holdout AUC min/mean/max=0.365/0.435/0.476
current_default,artifacts/balanced_bagging_firewall_tuned_ensemble,0.9825010496030151,0.8513035021525709,"{""iscx"": 0.8489768747648403, ""usbvpn"": 0.9916589585598111, ""vnat"": 0.9504950495049505}",0.9217821782178217,0.4,0.4,0.0,0.01,0.6268459915611815,0.2,0.0,0.0,0.8776583661351073,2/2/102,1/11/94,isotonic,0.02731374926105375,0.029395827023892207,0.6333766280078311,0.015279363956785046,0.0886..0.6268,0.8554..0.8777,True,True,True,True,isotonic holdout AUC min/mean/max=0.365/0.435/0.476
