model_id,held_out_dataset,status,deployable,supports_firewall_actions,supports_live_mode,recommended_action_mode,selected_probability_column,selected_aggregation,strict_threshold,strict_test_recall,strict_test_fpr,balanced_threshold,balanced_test_recall,balanced_test_fpr,session_auc_test,per_dataset_auc_test,n_val_sessions,n_test_sessions,any_overlap_detected,threshold_source,package_dir,source_artifact,warnings
lodo_hold_iscx,iscx,negative_control,False,False,False,report_only,prob_iso,p80,0.6666666666666667,0.0,0.0,1.0,0.0,0.0,0.5622965374371116,"{""iscx"": 0.5622965374371116}",85,140,False,recomputed_from_validation,backend/model_registry/lodo_hold_iscx,artifacts/lood_firewall_tuned/hold_iscx,"[""Negative control / LODO stress-test model. Not deployable.""]"
lodo_hold_usbvpn,usbvpn,negative_control,False,False,False,report_only,prob_platt,wt5,0.03532502841315734,0.043478260869565216,0.0,0.03532502841315734,0.043478260869565216,0.0,0.8134321612582481,"{""usbvpn"": 0.8134321612582481}",29,504,False,recomputed_from_validation,backend/model_registry/lodo_hold_usbvpn,artifacts/lood_firewall_tuned/hold_usbvpn,"[""Negative control / LODO stress-test model. Not deployable.""]"
lodo_hold_vnat,vnat,negative_control,False,False,False,report_only,prob_platt,p80,0.45037414864715336,0.0,0.0,0.5257381700787314,0.0,0.0,0.17590361445783131,"{""vnat"": 0.17590361445783131}",90,88,False,recomputed_from_validation,backend/model_registry/lodo_hold_vnat,artifacts/lood_firewall_tuned/hold_vnat,"[""Negative control / LODO stress-test model. Not deployable.""]"
