dir,split,n_rows,vpn_rate,datasets
artifacts/experiments/ablation_4f_no_p25,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/experiments/ablation_4f_no_p25,train,49506,0.20904536823819336,"iscx,usbvpn,vnat"
artifacts/experiments/ablation_4f_no_p25,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/experiments/ablation_4f_no_p75,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/experiments/ablation_4f_no_p75,train,49506,0.20904536823819336,"iscx,usbvpn,vnat"
artifacts/experiments/ablation_4f_no_p75,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/experiments/baseline_2ds,test,1890,0.18888888888888888,"iscx,vnat"
artifacts/experiments/baseline_2ds,train,15625,0.183424,"iscx,vnat"
artifacts/experiments/baseline_2ds,val,2393,0.03928123694107814,"iscx,vnat"
artifacts/experiments/baseline_3ds,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/baseline_3ds,train,54857,0.19510727892520555,"iscx,usbvpn,vnat"
artifacts/experiments/baseline_3ds,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_a_no_direction,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_a_no_direction,train,54857,0.19510727892520555,"iscx,usbvpn,vnat"
artifacts/experiments/exp_a_no_direction,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_b_balanced,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_b_balanced,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_b_balanced,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_b_balanced_sample,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/experiments/exp_b_balanced_sample,train,21303,0.4858001220485378,"iscx,usbvpn,vnat"
artifacts/experiments/exp_b_balanced_sample,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/experiments/exp_c_combined,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_c_combined,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_c_combined,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d1_safe_expanded,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d1_safe_expanded,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d1_safe_expanded,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d2_full_expanded,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d2_full_expanded,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d2_full_expanded,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d_iat_balanced,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d_iat_balanced,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d_iat_balanced,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d_iat_expanded,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d_iat_expanded,train,49506,0.20904536823819336,"iscx,usbvpn,vnat"
artifacts/experiments/exp_d_iat_expanded,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/experiments/exp_db_iat_balanced,test,8495,0.07733961153619777,"iscx,usbvpn,vnat"
artifacts/experiments/exp_db_iat_balanced,train,21303,0.4858001220485378,"iscx,usbvpn,vnat"
artifacts/experiments/exp_db_iat_balanced,val,8861,0.031034871910619568,"iscx,usbvpn,vnat"
artifacts/experiments/exp_e_adversarial,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_e_adversarial,train,31306,0.34188334504567813,"iscx,usbvpn,vnat"
artifacts/experiments/exp_e_adversarial,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f1_light_balance,test,8733,0.08954540249627849,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f1_light_balance,train,45058,0.19488215189311553,"iscx,usbvpn,vnat"
artifacts/experiments/exp_f1_light_balance,val,9022,0.031921968521392154,"iscx,usbvpn,vnat"
