dir,dataset,n,n_vpn,auc_iso,pr_iso
artifacts/experiments/exp_b_balanced_sample,usbvpn,6810,423,0.9953779119154932,0.9650766631034102
artifacts/experiments/exp_a_no_direction,usbvpn,6843,425,0.9952957674188403,0.9321267494808814
artifacts/experiments/exp_b_balanced,usbvpn,6843,425,0.9951300570087804,0.9686110959605301
artifacts/thesis_finalization/lodo_test_vnat,usbvpn,6843,425,0.995055633970634,0.9153431205391408
artifacts/experiments/exp_f7_cat-heavy,usbvpn,6843,425,0.9949621469030118,0.9251725340915271
artifacts/experiments/exp_f4_diverse_bagging,usbvpn,6843,425,0.9946668377541108,0.8965348587116378
artifacts/experiments/exp_f6_ratio_2_0,usbvpn,6843,425,0.9945911315601342,0.9069338059740839
artifacts/experiments/exp_f6_ratio_3_0,usbvpn,6843,425,0.9945911315601342,0.9069338059740839
artifacts/experiments/ablation_4f_no_p75,usbvpn,6810,423,0.9943406024574889,0.9218533108758328
artifacts/balanced_bagging,usbvpn,6810,423,0.9940783602626642,0.9678510492526113
artifacts/ensemble/diverse_bagging_robust,usbvpn,6810,423,0.9937289507610205,0.9645078079361132
artifacts/experiments/exp_f6_ratio_1_5,usbvpn,6843,425,0.9936819240005131,0.9245048607240566
artifacts/experiments/exp_f2_strict_reg,usbvpn,6843,425,0.9933103587337085,0.919279306610946
artifacts/experiments/feature_leakage_reduction/exp_5f-baseline,usbvpn,6843,425,0.9923043645629022,0.8925239372599519
artifacts/experiments/exp_c_combined,usbvpn,6843,425,0.991924183821238,0.910466179317963
artifacts/experiments/exp_d1_safe_expanded,usbvpn,6843,425,0.991924183821238,0.910466179317963
artifacts/experiments/exp_d2_full_expanded,usbvpn,6843,425,0.991924183821238,0.910466179317963
artifacts/experiments/exp_d_iat_balanced,usbvpn,6843,425,0.991924183821238,0.910466179317963
artifacts/balanced_bagging_firewall_tuned_ensemble,usbvpn,6810,423,0.9916589585598111,0.9466347179384016
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,usbvpn,6810,423,0.9916589585598111,0.9466347179384016
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,usbvpn,6810,423,0.9916589585598111,0.9466347179384016
artifacts/experiments/exp_f7_xgb-heavy,usbvpn,6843,425,0.9914963430058843,0.9009130016255193
artifacts/experiments/exp_f7_lgbm-heavy,usbvpn,6843,425,0.9909123237952083,0.9112660189493861
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p75,usbvpn,6843,425,0.9903253716569208,0.8500930045422251
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,usbvpn,6812,425,0.9896445905746047,0.9440603898746507
artifacts/experiments/exp_d_iat_expanded,usbvpn,6810,423,0.9895989600625681,0.9512222315450048
artifacts/experiments/ablation_4f_no_p25,usbvpn,6810,423,0.9895765667629394,0.842577014689256
artifacts/experiments/exp_f9_reduced,usbvpn,6843,425,0.9894447601415137,0.8875120523799558
artifacts/experiments/exp_f5_weighted_usb,usbvpn,6843,425,0.9892852822026286,0.7970210968663285
artifacts/thesis_finalization/lodo_test_iscx,usbvpn,6843,425,0.9884426154381977,0.9374540711342086
artifacts/experiments/exp_f1_light_balance,usbvpn,6843,425,0.9877588766887249,0.946496584455044
artifacts/experiments/feature_leakage_reduction/exp_4f-drop-p25,usbvpn,6843,425,0.9858988506589922,0.7953312961619214
artifacts/experiments/exp_db_iat_balanced,usbvpn,6810,423,0.9856512619272082,0.9046666513840946
artifacts/balanced_bagging_xgb,usbvpn,9002,1359,0.985228756357686,0.9309347749565926
artifacts/experiments/baseline_3ds,usbvpn,6843,425,0.9826246035965025,0.9348777501518274
artifacts/balanced_bagging_tuned,usbvpn,7540,1038,0.9814176785088804,0.9411255682704585
