dir,status,split,calibration,n,n_vpn,auc,pr_auc
artifacts/lood_firewall_tuned/hold_iscx,2-DS (by design),test,iso,11781,2942,0.46450015378203435,0.23760855798181407
artifacts/leave_two_out/usbvpn,2-DS (by design),test,iso,14680,2954,0.4216099615330918,0.1731648106895967
artifacts/ensemble/lood_vnat,2-DS (by design),test,iso,407,3,0.37788778877887785,0.006916311264137351
artifacts/lood_firewall_tuned/hold_usbvpn,2-DS (by design),test,iso,52182,8327,0.36548402073456343,0.13412395947283817
artifacts/leave_two_out/iscx,2-DS (by design),test,iso,55081,8339,0.27914868815567145,0.12532281663714462
artifacts/balanced_subset/full,3-DS ✅,test,platt,8495,657,0.9964235821038123,0.9759800222587348
artifacts/balanced_subset/balanced,3-DS ✅,test,platt,8495,657,0.9960652994834904,0.9715035107941026
artifacts/ensemble/diverse_bagging_robust9,3-DS ✅,test,platt,9384,1289,0.9903070644322105,0.9702405263998235
artifacts/experiments/exp_b_balanced,3-DS ✅,test,platt,8733,782,0.9893784371732102,0.9128099627959292
artifacts/experiments/exp_b_balanced_sample,3-DS ✅,test,platt,8495,657,0.9877238198325838,0.8947507052010578
artifacts/ensemble/diverse_bagging_robust,3-DS ✅,test,platt,8495,657,0.9876199275822467,0.8930568679134823
artifacts/balanced_bagging,3-DS ✅,test,platt,8495,657,0.9876113831728732,0.8905400883209225
artifacts/balanced_bagging_firewall_tuned_ensemble,3-DS ✅,test,platt,8495,657,0.9862165083426446,0.893252664822406
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_DEGRADED,3-DS ✅,test,platt,8495,657,0.9862165083426446,0.893252664822406
artifacts/balanced_bagging_firewall_tuned_ensemble_3dataset_REFRESH,3-DS ✅,test,platt,8495,657,0.9862165083426446,0.893252664822406
artifacts/experiments/baseline_3ds,3-DS ✅,test,platt,8733,782,0.9862092496850112,0.8967774615728303
artifacts/experiments/exp_f1_light_balance,3-DS ✅,test,platt,8733,782,0.985870377417179,0.8936059923152104
artifacts/balanced_bagging_firewall_tuned_ensemble_PRE_3DS_PROMOTION,3-DS ✅,test,platt,8514,672,0.984073756542913,0.8691008213943983
artifacts/experiments/exp_d_iat_expanded,3-DS ✅,test,platt,8495,657,0.9839271892039056,0.8761976558163195
artifacts/experiments/exp_f7_cat-heavy,3-DS ✅,test,platt,8733,782,0.9822043005737509,0.8183518880507064
artifacts/experiments/exp_f6_ratio_1_5,3-DS ✅,test,platt,8733,782,0.9820942113154066,0.8052260747090761
artifacts/experiments/exp_f2_strict_reg,3-DS ✅,test,platt,8733,782,0.9815267168697274,0.7881956971637628
artifacts/experiments/exp_c_combined,3-DS ✅,test,platt,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/exp_d1_safe_expanded,3-DS ✅,test,platt,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/exp_d2_full_expanded,3-DS ✅,test,platt,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/exp_d_iat_balanced,3-DS ✅,test,platt,8733,782,0.9811923478878463,0.8077979657254273
artifacts/experiments/ablation_4f_no_p75,3-DS ✅,test,platt,8495,657,0.9811333615298843,0.7766400108414736
artifacts/experiments/exp_f4_diverse_bagging,3-DS ✅,test,platt,8733,782,0.9810044965310223,0.777363541873997
artifacts/experiments/exp_f7_xgb-heavy,3-DS ✅,test,platt,8733,782,0.9808018486632157,0.8075868833038846
artifacts/experiments/exp_f7_lgbm-heavy,3-DS ✅,test,platt,8733,782,0.9798093566058863,0.7964005494472259
